x,t1,t2,t3
1,0.048468,0.039132,0.078504
2,0.027754,0.025723,0.023023
3,0.016377,0.015429,0.02139
4,0.016761,0.016727,0.032328
5,0.013145,0.016489,0.018099
6,0.015081,0.008394,0.01205
7,0.013668,0.016596,0.007113
8,0.017752,0.006526,0.015465
9,0.009029,0.007517,0.007109
10,0.007585,0.013623,0.008396
11,0.016619,0.010586,0.006909
12,0.007647,0.00839,0.008552
13,0.007677,0.007061,0.007732
14,0.025449,0.007728,0.01081
15,0.012825,0.010091,0.015614
16,0.021287,0.007735,0.007161
17,0.013853,0.010024,0.011125
18,0.011255,0.021166,0.007782
19,0.007637,0.018384,0.007918
20,0.007206,0.01301,0.007926
21,0.011685,0.008658,0.00787
22,0.025248,0.011715,0.00867
23,0.00895,0.007703,0.017793
24,0.010909,0.00969,0.009823
